roll_no,full_name,email,dept_code,section,batch_year,cgpa,backlogs,placement_status
CB.SC.U4CSE22001,Vihaan Desai,cb.sc.u4cse22001@cb.students.amrita.edu,CSE,A,2026,6.96,2,Not Placed
CB.SC.U4CSE22002,Harish Hegde,cb.sc.u4cse22002@cb.students.amrita.edu,CSE,A,2026,6.01,0,Not Placed
CB.SC.U4CSE22003,Amrita Krishnan,cb.sc.u4cse22003@cb.students.amrita.edu,CSE,A,2026,6.37,2,Not Placed
CB.SC.U4CSE22004,Aishwarya Gupta,cb.sc.u4cse22004@cb.students.amrita.edu,CSE,A,2026,8.25,0,In Process
CB.SC.U4CSE22005,Anirudh Joshi,cb.sc.u4cse22005@cb.students.amrita.edu,CSE,A,2026,9.26,0,Placed
CB.SC.U4CSE22006,Swathi Gupta,cb.sc.u4cse22006@cb.students.amrita.edu,CSE,A,2026,8.63,0,Placed
CB.SC.U4CSE22007,Nikhil Nair,cb.sc.u4cse22007@cb.students.amrita.edu,CSE,A,2026,6.64,1,Not Placed
CB.SC.U4CSE22008,Kavya Kumar,cb.sc.u4cse22008@cb.students.amrita.edu,CSE,A,2026,7.05,2,Not Placed
CB.SC.U4CSE22009,Vishal Venkatesh,cb.sc.u4cse22009@cb.students.amrita.edu,CSE,A,2026,7.57,0,In Process
CB.SC.U4CSE22010,Rishabh Menon,cb.sc.u4cse22010@cb.students.amrita.edu,CSE,A,2026,7.7,0,In Process
CB.SC.U4CSE22011,Diya Das,cb.sc.u4cse22011@cb.students.amrita.edu,CSE,A,2026,5.94,2,Not Placed
CB.SC.U4CSE22012,Rishabh Kumar,cb.sc.u4cse22012@cb.students.amrita.edu,CSE,A,2026,8.94,0,Placed
CB.SC.U4CSE22013,Harish Reddy,cb.sc.u4cse22013@cb.students.amrita.edu,CSE,A,2026,9.48,0,In Process
CB.SC.U4CSE22014,Aarav Rangan,cb.sc.u4cse22014@cb.students.amrita.edu,CSE,A,2026,7.39,0,Not Placed
CB.SC.U4CSE22015,Swathi Shetty,cb.sc.u4cse22015@cb.students.amrita.edu,CSE,A,2026,7.87,0,Placed
CB.SC.U4CSE22016,Diya Sharma,cb.sc.u4cse22016@cb.students.amrita.edu,CSE,A,2026,7.31,0,Not Placed
CB.SC.U4CSE22017,Karthik Prabhu,cb.sc.u4cse22017@cb.students.amrita.edu,CSE,A,2026,6.92,0,Not Placed
CB.SC.U4CSE22018,Harish Bhat,cb.sc.u4cse22018@cb.students.amrita.edu,CSE,A,2026,6.13,2,Not Placed
CB.SC.U4CSE22019,Saanvi Pillai,cb.sc.u4cse22019@cb.students.amrita.edu,CSE,A,2026,8.01,0,Placed
CB.SC.U4CSE22020,Vihaan Reddy,cb.sc.u4cse22020@cb.students.amrita.edu,CSE,A,2026,7.13,2,Not Placed
CB.SC.U4CSE22021,Anirudh Raman,cb.sc.u4cse22021@cb.students.amrita.edu,CSE,A,2026,9.18,0,Placed
CB.SC.U4CSE22022,Suraj Kumar,cb.sc.u4cse22022@cb.students.amrita.edu,CSE,A,2026,8.64,0,Placed
CB.SC.U4CSE22023,Aditya Bhat,cb.sc.u4cse22023@cb.students.amrita.edu,CSE,A,2026,9.31,0,In Process
CB.SC.U4CSE22024,Sai Mehta,cb.sc.u4cse22024@cb.students.amrita.edu,CSE,A,2026,7.66,0,Placed
CB.SC.U4CSE22025,Karthik Rangan,cb.sc.u4cse22025@cb.students.amrita.edu,CSE,A,2026,6.95,2,Not Placed
CB.SC.U4CSE22026,Shruti Bhat,cb.sc.u4cse22026@cb.students.amrita.edu,CSE,A,2026,5.91,1,Not Placed
CB.SC.U4CSE22027,Rahul Reddy,cb.sc.u4cse22027@cb.students.amrita.edu,CSE,A,2026,7.65,0,In Process
CB.SC.U4CSE22028,Siddharth Gupta,cb.sc.u4cse22028@cb.students.amrita.edu,CSE,A,2026,7.93,0,Placed
CB.SC.U4CSE22029,Meera Joshi,cb.sc.u4cse22029@cb.students.amrita.edu,CSE,A,2026,6.41,2,Not Placed
CB.SC.U4CSE22030,Sneha Sharma,cb.sc.u4cse22030@cb.students.amrita.edu,CSE,A,2026,5.75,0,Not Placed
CB.SC.U4CSE22101,Anjali Patel,cb.sc.u4cse22101@cb.students.amrita.edu,CSE,B,2026,9.49,0,Placed
CB.SC.U4CSE22102,Rishabh Krishnan,cb.sc.u4cse22102@cb.students.amrita.edu,CSE,B,2026,9.25,0,Placed
CB.SC.U4CSE22103,Suraj Pillai,cb.sc.u4cse22103@cb.students.amrita.edu,CSE,B,2026,5.62,2,Not Placed
CB.SC.U4CSE22104,Riya Nair,cb.sc.u4cse22104@cb.students.amrita.edu,CSE,B,2026,6.3,2,Not Placed
CB.SC.U4CSE22105,Abhishek Gowda,cb.sc.u4cse22105@cb.students.amrita.edu,CSE,B,2026,6.8,0,Not Placed
CB.SC.U4CSE22106,Dhruv Nair,cb.sc.u4cse22106@cb.students.amrita.edu,CSE,B,2026,9.36,0,Placed
CB.SC.U4CSE22107,Diya Kamath,cb.sc.u4cse22107@cb.students.amrita.edu,CSE,B,2026,7.37,1,Not Placed
CB.SC.U4CSE22108,Rohan Singh,cb.sc.u4cse22108@cb.students.amrita.edu,CSE,B,2026,5.89,1,Not Placed
CB.SC.U4CSE22109,Sai Mehta,cb.sc.u4cse22109@cb.students.amrita.edu,CSE,B,2026,8.62,0,Placed
CB.SC.U4CSE22110,Siddharth Krishnan,cb.sc.u4cse22110@cb.students.amrita.edu,CSE,B,2026,5.54,2,Not Placed
CB.SC.U4CSE22111,Aishwarya Krishnan,cb.sc.u4cse22111@cb.students.amrita.edu,CSE,B,2026,5.86,2,Not Placed
CB.SC.U4CSE22112,Shruti Gupta,cb.sc.u4cse22112@cb.students.amrita.edu,CSE,B,2026,9.03,0,In Process
CB.SC.U4CSE22113,Riya Gupta,cb.sc.u4cse22113@cb.students.amrita.edu,CSE,B,2026,8.44,0,In Process
CB.SC.U4CSE22114,Rishabh Prabhu,cb.sc.u4cse22114@cb.students.amrita.edu,CSE,B,2026,7.19,0,Not Placed
CB.SC.U4CSE22115,Keerthi Reddy,cb.sc.u4cse22115@cb.students.amrita.edu,CSE,B,2026,7.91,0,In Process
CB.SC.U4CSE22116,Anjali Bhat,cb.sc.u4cse22116@cb.students.amrita.edu,CSE,B,2026,8.24,0,Placed
CB.SC.U4CSE22117,Suraj Joshi,cb.sc.u4cse22117@cb.students.amrita.edu,CSE,B,2026,5.82,2,Not Placed
CB.SC.U4CSE22118,Riya Menon,cb.sc.u4cse22118@cb.students.amrita.edu,CSE,B,2026,8.55,0,Placed
CB.SC.U4CSE22119,Neha Menon,cb.sc.u4cse22119@cb.students.amrita.edu,CSE,B,2026,5.8,0,Not Placed
CB.SC.U4CSE22120,Kavya Hegde,cb.sc.u4cse22120@cb.students.amrita.edu,CSE,B,2026,5.98,0,Not Placed
CB.SC.U4CSE22121,Kavya Bhat,cb.sc.u4cse22121@cb.students.amrita.edu,CSE,B,2026,7.47,0,Not Placed
CB.SC.U4CSE22122,Suraj Prabhu,cb.sc.u4cse22122@cb.students.amrita.edu,CSE,B,2026,7.88,0,Placed
CB.SC.U4CSE22123,Anirudh Das,cb.sc.u4cse22123@cb.students.amrita.edu,CSE,B,2026,8.74,0,In Process
CB.SC.U4CSE22124,Sneha Das,cb.sc.u4cse22124@cb.students.amrita.edu,CSE,B,2026,6.35,1,Not Placed
CB.SC.U4CSE22125,Vihaan Venkatesh,cb.sc.u4cse22125@cb.students.amrita.edu,CSE,B,2026,6.01,2,Not Placed
CB.SC.U4CSE22126,Diya Subramanian,cb.sc.u4cse22126@cb.students.amrita.edu,CSE,B,2026,5.83,1,Not Placed
CB.SC.U4CSE22127,Ananya Verma,cb.sc.u4cse22127@cb.students.amrita.edu,CSE,B,2026,7.11,0,Not Placed
CB.SC.U4CSE22128,Aarav Singh,cb.sc.u4cse22128@cb.students.amrita.edu,CSE,B,2026,8.73,0,Placed
CB.SC.U4CSE22129,Lakshmi Gupta,cb.sc.u4cse22129@cb.students.amrita.edu,CSE,B,2026,7.33,1,Not Placed
CB.SC.U4CSE22130,Vikram Gowda,cb.sc.u4cse22130@cb.students.amrita.edu,CSE,B,2026,6.1,2,Not Placed
CB.SC.U4CSE22201,Suraj Kumar,cb.sc.u4cse22201@cb.students.amrita.edu,CSE,C,2026,6.13,0,Not Placed
CB.SC.U4CSE22202,Priya Kumar,cb.sc.u4cse22202@cb.students.amrita.edu,CSE,C,2026,8.88,0,Placed
CB.SC.U4CSE22203,Aishwarya Rao,cb.sc.u4cse22203@cb.students.amrita.edu,CSE,C,2026,9.01,0,Placed
CB.SC.U4CSE22204,Diya Das,cb.sc.u4cse22204@cb.students.amrita.edu,CSE,C,2026,6.23,1,Not Placed
CB.SC.U4CSE22205,Sai Subramanian,cb.sc.u4cse22205@cb.students.amrita.edu,CSE,C,2026,8.3,0,Placed
CB.SC.U4CSE22206,Dhruv Rao,cb.sc.u4cse22206@cb.students.amrita.edu,CSE,C,2026,8.21,0,Placed
CB.SC.U4CSE22207,Lakshmi Singh,cb.sc.u4cse22207@cb.students.amrita.edu,CSE,C,2026,8.63,0,In Process
CB.SC.U4CSE22208,Suraj Desai,cb.sc.u4cse22208@cb.students.amrita.edu,CSE,C,2026,5.8,1,Not Placed
CB.SC.U4CSE22209,Neha Chopra,cb.sc.u4cse22209@cb.students.amrita.edu,CSE,C,2026,6.11,2,Not Placed
CB.SC.U4CSE22210,Abhishek Singh,cb.sc.u4cse22210@cb.students.amrita.edu,CSE,C,2026,7.34,1,Not Placed
CB.SC.U4CSE22211,Nandini Prabhu,cb.sc.u4cse22211@cb.students.amrita.edu,CSE,C,2026,7.58,0,In Process
CB.SC.U4CSE22212,Rahul Mehta,cb.sc.u4cse22212@cb.students.amrita.edu,CSE,C,2026,7.8,0,Placed
CB.SC.U4CSE22213,Rahul Verma,cb.sc.u4cse22213@cb.students.amrita.edu,CSE,C,2026,7.48,1,Not Placed
CB.SC.U4CSE22214,Suraj Menon,cb.sc.u4cse22214@cb.students.amrita.edu,CSE,C,2026,7.37,0,Not Placed
CB.SC.U4CSE22215,Dhruv Pillai,cb.sc.u4cse22215@cb.students.amrita.edu,CSE,C,2026,6.46,0,Not Placed
CB.SC.U4CSE22216,Varun Subramanian,cb.sc.u4cse22216@cb.students.amrita.edu,CSE,C,2026,9.16,0,Placed
CB.SC.U4CSE22217,Aditya Hegde,cb.sc.u4cse22217@cb.students.amrita.edu,CSE,C,2026,5.69,1,Not Placed
CB.SC.U4CSE22218,Aarav Patel,cb.sc.u4cse22218@cb.students.amrita.edu,CSE,C,2026,6.69,2,Not Placed
CB.SC.U4CSE22219,Rohan Iyer,cb.sc.u4cse22219@cb.students.amrita.edu,CSE,C,2026,9.18,0,Placed
CB.SC.U4CSE22220,Vihaan Srinivasan,cb.sc.u4cse22220@cb.students.amrita.edu,CSE,C,2026,8.15,0,Placed
CB.SC.U4CSE22221,Riya Rao,cb.sc.u4cse22221@cb.students.amrita.edu,CSE,C,2026,6.48,0,Not Placed
CB.SC.U4CSE22222,Sai Naidu,cb.sc.u4cse22222@cb.students.amrita.edu,CSE,C,2026,6.95,0,Not Placed
CB.SC.U4CSE22223,Saanvi Joshi,cb.sc.u4cse22223@cb.students.amrita.edu,CSE,C,2026,8.83,0,Placed
CB.SC.U4CSE22224,Anirudh Gupta,cb.sc.u4cse22224@cb.students.amrita.edu,CSE,C,2026,6.62,0,Not Placed
CB.SC.U4CSE22225,Sneha Rao,cb.sc.u4cse22225@cb.students.amrita.edu,CSE,C,2026,7.78,0,Placed
CB.SC.U4CSE22226,Karthik Singh,cb.sc.u4cse22226@cb.students.amrita.edu,CSE,C,2026,8.42,0,In Process
CB.SC.U4CSE22227,Nikhil Srinivasan,cb.sc.u4cse22227@cb.students.amrita.edu,CSE,C,2026,9.19,0,In Process
CB.SC.U4CSE22228,Vikram Patel,cb.sc.u4cse22228@cb.students.amrita.edu,CSE,C,2026,9.19,0,Placed
CB.SC.U4CSE22229,Nikhil Nair,cb.sc.u4cse22229@cb.students.amrita.edu,CSE,C,2026,7.28,0,Not Placed
CB.SC.U4CSE22230,Siddharth Kamath,cb.sc.u4cse22230@cb.students.amrita.edu,CSE,C,2026,7.22,1,Not Placed
CB.EN.U4EEE22001,Vishal Sharma,cb.en.u4eee22001@cb.students.amrita.edu,EEE,A,2026,7.46,1,Not Placed
CB.EN.U4EEE22002,Anirudh Venkatesh,cb.en.u4eee22002@cb.students.amrita.edu,EEE,A,2026,6.12,0,Not Placed
CB.EN.U4EEE22003,Pooja Reddy,cb.en.u4eee22003@cb.students.amrita.edu,EEE,A,2026,7.41,2,Not Placed
CB.EN.U4EEE22004,Saanvi Shetty,cb.en.u4eee22004@cb.students.amrita.edu,EEE,A,2026,9.05,0,Placed
CB.EN.U4EEE22005,Aditya Menon,cb.en.u4eee22005@cb.students.amrita.edu,EEE,A,2026,5.84,2,Not Placed
CB.EN.U4EEE22006,Amrita Nair,cb.en.u4eee22006@cb.students.amrita.edu,EEE,A,2026,6.01,1,Not Placed
CB.EN.U4EEE22007,Meera Hegde,cb.en.u4eee22007@cb.students.amrita.edu,EEE,A,2026,6.99,1,Not Placed
CB.EN.U4EEE22008,Pranav Verma,cb.en.u4eee22008@cb.students.amrita.edu,EEE,A,2026,5.7,1,Not Placed
CB.EN.U4EEE22009,Pranav Prabhu,cb.en.u4eee22009@cb.students.amrita.edu,EEE,A,2026,5.56,0,Not Placed
CB.EN.U4EEE22010,Nandini Das,cb.en.u4eee22010@cb.students.amrita.edu,EEE,A,2026,7.53,0,Placed
CB.EN.U4EEE22011,Aarav Pillai,cb.en.u4eee22011@cb.students.amrita.edu,EEE,A,2026,9.15,0,Placed
CB.EN.U4EEE22012,Harish Sharma,cb.en.u4eee22012@cb.students.amrita.edu,EEE,A,2026,8.56,0,In Process
CB.EN.U4EEE22013,Lakshmi Desai,cb.en.u4eee22013@cb.students.amrita.edu,EEE,A,2026,6.77,1,Not Placed
CB.EN.U4EEE22014,Dhruv Venkatesh,cb.en.u4eee22014@cb.students.amrita.edu,EEE,A,2026,9.29,0,Placed
CB.EN.U4EEE22015,Nandini Singh,cb.en.u4eee22015@cb.students.amrita.edu,EEE,A,2026,5.95,2,Not Placed
CB.EN.U4EEE22016,Vihaan Pillai,cb.en.u4eee22016@cb.students.amrita.edu,EEE,A,2026,6.47,0,Not Placed
CB.EN.U4EEE22017,Ananya Verma,cb.en.u4eee22017@cb.students.amrita.edu,EEE,A,2026,7.45,2,Not Placed
CB.EN.U4EEE22018,Anirudh Gupta,cb.en.u4eee22018@cb.students.amrita.edu,EEE,A,2026,9.13,0,Placed
CB.EN.U4EEE22019,Abhishek Chopra,cb.en.u4eee22019@cb.students.amrita.edu,EEE,A,2026,6.59,1,Not Placed
CB.EN.U4EEE22020,Neha Iyer,cb.en.u4eee22020@cb.students.amrita.edu,EEE,A,2026,8.97,0,In Process
CB.EN.U4EEE22021,Anjali Kumar,cb.en.u4eee22021@cb.students.amrita.edu,EEE,A,2026,8.54,0,Placed
CB.EN.U4EEE22022,Sneha Gowda,cb.en.u4eee22022@cb.students.amrita.edu,EEE,A,2026,5.97,1,Not Placed
CB.EN.U4EEE22023,Anjali Venkatesh,cb.en.u4eee22023@cb.students.amrita.edu,EEE,A,2026,5.8,0,Not Placed
CB.EN.U4EEE22024,Priya Mehta,cb.en.u4eee22024@cb.students.amrita.edu,EEE,A,2026,8.03,0,Placed
CB.EN.U4EEE22025,Nandini Reddy,cb.en.u4eee22025@cb.students.amrita.edu,EEE,A,2026,7.29,0,Not Placed
CB.EN.U4EEE22026,Pooja Hegde,cb.en.u4eee22026@cb.students.amrita.edu,EEE,A,2026,6.84,2,Not Placed
CB.EN.U4EEE22027,Suraj Prabhu,cb.en.u4eee22027@cb.students.amrita.edu,EEE,A,2026,7.94,0,Placed
CB.EN.U4EEE22028,Rohan Reddy,cb.en.u4eee22028@cb.students.amrita.edu,EEE,A,2026,7.64,0,In Process
CB.EN.U4EEE22029,Rahul Verma,cb.en.u4eee22029@cb.students.amrita.edu,EEE,A,2026,7.58,0,In Process
CB.EN.U4EEE22030,Saanvi Singh,cb.en.u4eee22030@cb.students.amrita.edu,EEE,A,2026,8.09,0,In Process
CB.EN.U4EEE22101,Rishabh Patel,cb.en.u4eee22101@cb.students.amrita.edu,EEE,B,2026,8.1,0,Placed
CB.EN.U4EEE22102,Aditya Singh,cb.en.u4eee22102@cb.students.amrita.edu,EEE,B,2026,8.94,0,In Process
CB.EN.U4EEE22103,Dhruv Krishnan,cb.en.u4eee22103@cb.students.amrita.edu,EEE,B,2026,5.91,0,Not Placed
CB.EN.U4EEE22104,Ananya Naidu,cb.en.u4eee22104@cb.students.amrita.edu,EEE,B,2026,8.89,0,Placed
CB.EN.U4EEE22105,Shruti Pillai,cb.en.u4eee22105@cb.students.amrita.edu,EEE,B,2026,9.12,0,Placed
CB.EN.U4EEE22106,Vikram Hegde,cb.en.u4eee22106@cb.students.amrita.edu,EEE,B,2026,5.5,1,Not Placed
CB.EN.U4EEE22107,Rohan Das,cb.en.u4eee22107@cb.students.amrita.edu,EEE,B,2026,7.34,2,Not Placed
CB.EN.U4EEE22108,Arjun Srinivasan,cb.en.u4eee22108@cb.students.amrita.edu,EEE,B,2026,7.88,0,Placed
CB.EN.U4EEE22109,Keerthi Raman,cb.en.u4eee22109@cb.students.amrita.edu,EEE,B,2026,8.52,0,Placed
CB.EN.U4EEE22110,Neha Rangan,cb.en.u4eee22110@cb.students.amrita.edu,EEE,B,2026,6.84,0,Not Placed
CB.EN.U4EEE22111,Pooja Chopra,cb.en.u4eee22111@cb.students.amrita.edu,EEE,B,2026,6.03,1,Not Placed
CB.EN.U4EEE22112,Aditya Reddy,cb.en.u4eee22112@cb.students.amrita.edu,EEE,B,2026,6.12,0,Not Placed
CB.EN.U4EEE22113,Diya Sharma,cb.en.u4eee22113@cb.students.amrita.edu,EEE,B,2026,6.03,1,Not Placed
CB.EN.U4EEE22114,Nikhil Kamath,cb.en.u4eee22114@cb.students.amrita.edu,EEE,B,2026,6.13,0,Not Placed
CB.EN.U4EEE22115,Shruti Rangan,cb.en.u4eee22115@cb.students.amrita.edu,EEE,B,2026,6.33,1,Not Placed
CB.EN.U4EEE22116,Priya Srinivasan,cb.en.u4eee22116@cb.students.amrita.edu,EEE,B,2026,8.69,0,Placed
CB.EN.U4EEE22117,Priya Patel,cb.en.u4eee22117@cb.students.amrita.edu,EEE,B,2026,8.28,0,Placed
CB.EN.U4EEE22118,Sai Gowda,cb.en.u4eee22118@cb.students.amrita.edu,EEE,B,2026,7.58,0,Placed
CB.EN.U4EEE22119,Vihaan Nair,cb.en.u4eee22119@cb.students.amrita.edu,EEE,B,2026,9.48,0,In Process
CB.EN.U4EEE22120,Abhishek Joshi,cb.en.u4eee22120@cb.students.amrita.edu,EEE,B,2026,8.36,0,In Process
CB.EN.U4EEE22121,Aditya Menon,cb.en.u4eee22121@cb.students.amrita.edu,EEE,B,2026,6.04,1,Not Placed
CB.EN.U4EEE22122,Anjali Prabhu,cb.en.u4eee22122@cb.students.amrita.edu,EEE,B,2026,6.45,1,Not Placed
CB.EN.U4EEE22123,Vishal Desai,cb.en.u4eee22123@cb.students.amrita.edu,EEE,B,2026,8.23,0,Placed
CB.EN.U4EEE22124,Sneha Chopra,cb.en.u4eee22124@cb.students.amrita.edu,EEE,B,2026,5.93,0,Not Placed
CB.EN.U4EEE22125,Sai Menon,cb.en.u4eee22125@cb.students.amrita.edu,EEE,B,2026,6.89,2,Not Placed
CB.EN.U4EEE22126,Varun Gowda,cb.en.u4eee22126@cb.students.amrita.edu,EEE,B,2026,8.24,0,Placed
CB.EN.U4EEE22127,Saanvi Das,cb.en.u4eee22127@cb.students.amrita.edu,EEE,B,2026,5.88,2,Not Placed
CB.EN.U4EEE22128,Arjun Venkatesh,cb.en.u4eee22128@cb.students.amrita.edu,EEE,B,2026,7.21,2,Not Placed
CB.EN.U4EEE22129,Pooja Mehta,cb.en.u4eee22129@cb.students.amrita.edu,EEE,B,2026,5.81,0,Not Placed
CB.EN.U4EEE22130,Varun Gowda,cb.en.u4eee22130@cb.students.amrita.edu,EEE,B,2026,6.76,2,Not Placed
CB.EN.U4EEE22201,Suraj Pillai,cb.en.u4eee22201@cb.students.amrita.edu,EEE,C,2026,8.42,0,Placed
CB.EN.U4EEE22202,Priya Venkatesh,cb.en.u4eee22202@cb.students.amrita.edu,EEE,C,2026,8.98,0,Placed
CB.EN.U4EEE22203,Kavya Krishnan,cb.en.u4eee22203@cb.students.amrita.edu,EEE,C,2026,7.82,0,Placed
CB.EN.U4EEE22204,Ananya Sharma,cb.en.u4eee22204@cb.students.amrita.edu,EEE,C,2026,6.28,2,Not Placed
CB.EN.U4EEE22205,Abhishek Naidu,cb.en.u4eee22205@cb.students.amrita.edu,EEE,C,2026,6.15,0,Not Placed
CB.EN.U4EEE22206,Suraj Joshi,cb.en.u4eee22206@cb.students.amrita.edu,EEE,C,2026,7.45,2,Not Placed
CB.EN.U4EEE22207,Neha Venkatesh,cb.en.u4eee22207@cb.students.amrita.edu,EEE,C,2026,6.1,1,Not Placed
CB.EN.U4EEE22208,Dhruv Joshi,cb.en.u4eee22208@cb.students.amrita.edu,EEE,C,2026,5.6,2,Not Placed
CB.EN.U4EEE22209,Shruti Raman,cb.en.u4eee22209@cb.students.amrita.edu,EEE,C,2026,6.73,1,Not Placed
CB.EN.U4EEE22210,Shruti Subramanian,cb.en.u4eee22210@cb.students.amrita.edu,EEE,C,2026,7.46,0,Not Placed
CB.EN.U4EEE22211,Priya Shetty,cb.en.u4eee22211@cb.students.amrita.edu,EEE,C,2026,5.83,0,Not Placed
CB.EN.U4EEE22212,Rishabh Singh,cb.en.u4eee22212@cb.students.amrita.edu,EEE,C,2026,6,2,Not Placed
